datum	vizallas	varos	folyo
2000.01.01	284	Budapest	Duna
2000.01.02	251	Budapest	Duna
2000.01.03	228	Budapest	Duna
2000.01.04	218	Budapest	Duna
2000.01.05	213	Budapest	Duna
2000.01.06	213	Budapest	Duna
2000.01.07	209	Budapest	Duna
2000.01.08	222	Budapest	Duna
2000.01.09	223	Budapest	Duna
2000.01.10	213	Budapest	Duna
2000.01.11	199	Budapest	Duna
2000.01.12	192	Budapest	Duna
2000.01.13	192	Budapest	Duna
2000.01.14	194	Budapest	Duna
2000.01.15	190	Budapest	Duna
2000.01.16	184	Budapest	Duna
2000.01.17	172	Budapest	Duna
2000.01.18	171	Budapest	Duna
2000.01.19	179	Budapest	Duna
2000.01.20	191	Budapest	Duna
2000.01.21	255	Budapest	Duna
2000.01.22	227	Budapest	Duna
2000.01.23	211	Budapest	Duna
2000.01.24	209	Budapest	Duna
2000.01.25	200	Budapest	Duna
2000.01.26	173	Budapest	Duna
2000.01.27	168	Budapest	Duna
2000.01.28	149	Budapest	Duna
2000.01.29	168	Budapest	Duna
2000.01.30	169	Budapest	Duna
2000.01.31	160	Budapest	Duna
2000.01.01	406	Mohács	Duna
2000.01.02	414	Mohács	Duna
2000.01.03	400	Mohács	Duna
2000.01.04	375	Mohács	Duna
2000.01.05	354	Mohács	Duna
2000.01.06	341	Mohács	Duna
2000.01.07	333	Mohács	Duna
2000.01.08	327	Mohács	Duna
2000.01.09	326	Mohács	Duna
2000.01.10	333	Mohács	Duna
2000.01.11	328	Mohács	Duna
2000.01.12	319	Mohács	Duna
2000.01.13	305	Mohács	Duna
2000.01.14	298	Mohács	Duna
2000.01.15	297	Mohács	Duna
2000.01.16	293	Mohács	Duna
2000.01.17	291	Mohács	Duna
2000.01.18	279	Mohács	Duna
2000.01.19	274	Mohács	Duna
2000.01.20	270	Mohács	Duna
2000.01.21	280	Mohács	Duna
2000.01.22	303	Mohács	Duna
2000.01.23	330	Mohács	Duna
2000.01.24	326	Mohács	Duna
2000.01.25	318	Mohács	Duna
2000.01.26	307	Mohács	Duna
2000.01.27	292	Mohács	Duna
2000.01.28	273	Mohács	Duna
2000.01.29	262	Mohács	Duna
2000.01.30	263	Mohács	Duna
2000.01.31	260	Mohács	Duna
2000.01.01	145	Nagymaros	Duna
2000.01.02	114	Nagymaros	Duna
2000.01.03	98	Nagymaros	Duna
2000.01.04	97	Nagymaros	Duna
2000.01.05	90	Nagymaros	Duna
2000.01.06	92	Nagymaros	Duna
2000.01.07	88	Nagymaros	Duna
2000.01.08	104	Nagymaros	Duna
2000.01.09	97	Nagymaros	Duna
2000.01.10	86	Nagymaros	Duna
2000.01.11	75	Nagymaros	Duna
2000.01.12	71	Nagymaros	Duna
2000.01.13	73	Nagymaros	Duna
2000.01.14	77	Nagymaros	Duna
2000.01.15	69	Nagymaros	Duna
2000.01.16	59	Nagymaros	Duna
2000.01.17	53	Nagymaros	Duna
2000.01.18	52	Nagymaros	Duna
2000.01.19	57	Nagymaros	Duna
2000.01.20	101	Nagymaros	Duna
2000.01.21	122	Nagymaros	Duna
2000.01.22	98	Nagymaros	Duna
2000.01.23	89	Nagymaros	Duna
2000.01.24	85	Nagymaros	Duna
2000.01.25	78	Nagymaros	Duna
2000.01.26	51	Nagymaros	Duna
2000.01.27	53	Nagymaros	Duna
2000.01.28	54	Nagymaros	Duna
2000.01.29	50	Nagymaros	Duna
2000.01.30	46	Nagymaros	Duna
2000.01.31	61	Nagymaros	Duna
2000.01.01	296	Szeged	Tisza
2000.01.02	309	Szeged	Tisza
2000.01.03	323	Szeged	Tisza
2000.01.04	328	Szeged	Tisza
2000.01.05	324	Szeged	Tisza
2000.01.06	312	Szeged	Tisza
2000.01.07	295	Szeged	Tisza
2000.01.08	275	Szeged	Tisza
2000.01.09	248	Szeged	Tisza
2000.01.10	220	Szeged	Tisza
2000.01.11	201	Szeged	Tisza
2000.01.12	188	Szeged	Tisza
2000.01.13	180	Szeged	Tisza
2000.01.14	178	Szeged	Tisza
2000.01.15	170	Szeged	Tisza
2000.01.16	160	Szeged	Tisza
2000.01.17	144	Szeged	Tisza
2000.01.18	128	Szeged	Tisza
2000.01.19	121	Szeged	Tisza
2000.01.20	124	Szeged	Tisza
2000.01.21	126	Szeged	Tisza
2000.01.22	125	Szeged	Tisza
2000.01.23	124	Szeged	Tisza
2000.01.24	116	Szeged	Tisza
2000.01.25	109	Szeged	Tisza
2000.01.26	103	Szeged	Tisza
2000.01.27	104	Szeged	Tisza
2000.01.28	115	Szeged	Tisza
2000.01.29	122	Szeged	Tisza
2000.01.30	128	Szeged	Tisza
2000.01.31	135	Szeged	Tisza
